StapleStadium
StapleStadium/air_con,air_con (Instance)
StapleStadium/ground9,wall_ground9 (Instance)
StapleStadium/ground10,wall_ground10 (Instance)
StapleStadium/ground11,wall_ground11 (Instance)
StapleStadium/ground12,wall_ground12 (Instance)
StapleStadium/ground13,wall_ground13 (Instance)
StapleStadium/handrail,handrail (Instance)
StapleStadium/hood,hood (Instance)
StapleStadium/lakers_ad,lakers_logo (Instance)
StapleStadium/lamp_globe,white_glass (Instance)
StapleStadium/Light
StapleStadium/Light.001
StapleStadium/NE_wall,wall1 (Instance)
StapleStadium/NE_wall1,gray_wall1 (Instance)
StapleStadium/NE_wall2,wall_concrete_grey (Instance)
StapleStadium/NE_wall3,wall2 (Instance)
StapleStadium/NE_wall4,wall3 (Instance)
StapleStadium/nike_ad,nike_ads (Instance)
StapleStadium/northeastern_wall,wall7 (Instance)
StapleStadium/office_pink,box_office (Instance)
StapleStadium/poles,poles (Instance)
StapleStadium/reflectors,reflectors (Instance)
StapleStadium/restaurant_floor,restaurant_floor (Instance)
StapleStadium/restaurant_floor_out,restaurant_floor_out (Instance)
StapleStadium/restaurant_roof,restaurant_roof (Instance)
StapleStadium/ring_roof,ring_roof (Instance)
StapleStadium/roof,roof (Instance)
StapleStadium/roof_bar,roof_stripe (Instance)
StapleStadium/roof_door_frame,roof_door_frame (Instance)
StapleStadium/roof_doors_frame,roof_doors (Instance)
StapleStadium/roof_lamps,roof_lamps (Instance)
StapleStadium/roof_red,red_roof (Instance)
StapleStadium/roof_room,roof_room (Instance)
StapleStadium/roof_room_floor,szpic (Instance)
StapleStadium/roof_spitz,roof_spitz (Instance)
StapleStadium/roof_stairs,stairs (Instance)
StapleStadium/roof_wall,roof_wall (Instance)
StapleStadium/S_building,S_building (Instance)
StapleStadium/S_bulding_wall,gray_wall1 (Instance)
StapleStadium/S_floor,S_floor (Instance)
StapleStadium/S_floor2,S_floor (Instance)
StapleStadium/S_roofDark,S_roofdark (Instance)
StapleStadium/S_roofDark2,S_roofdark (Instance)
StapleStadium/S_roofWhite,S_roofWhite (Instance)
StapleStadium/S_wall1,S_bulding_wall (Instance)
StapleStadium/S_wall2,S_wall (Instance)
StapleStadium/S_wall3,S_bulding_wall (Instance)
StapleStadium/S_wall4,S_wall4 (Instance)
StapleStadium/S_wall5,S_wall5 (Instance)
StapleStadium/S_wall6,S_wall6 (Instance)
StapleStadium/S_wall7,white_frame (Instance)
StapleStadium/S_wall8,white_frame (Instance)
StapleStadium/S_wall9,b_w_wall (Instance)
StapleStadium/S_wall10,gray_wall1 (Instance)
StapleStadium/satellite_dishes,satellite_dishes (Instance)
StapleStadium/solar_standB,solar_stand_black (Instance)
StapleStadium/solar_standW,solar_white_stand (Instance)
StapleStadium/solars,solars (Instance)
StapleStadium/stairs,white_frame (Instance)
StapleStadium/staple_stand,text_stands (Instance)
StapleStadium/staples_handle,staples_handle (Instance)
StapleStadium/staples_red,staples_red_text (Instance)
StapleStadium/staples_roof,staples_roof (Instance)
StapleStadium/storey,storey (Instance)
StapleStadium/storey_buildings,storey_buildings (Instance)
StapleStadium/storey_lamps,lamps (Instance)
StapleStadium/tables_brown,tables (Instance)
StapleStadium/teamLA,team_LA (Instance)
StapleStadium/teamLA_ad,teamLA (Instance)
StapleStadium/ticket_office,white_frame (Instance)
StapleStadium/ticketoffice,white_frame (Instance)
StapleStadium/TV_desktop,tv (Instance)
StapleStadium/TV_frame,TV_frame (Instance)
StapleStadium/TV_wall,wall7 (Instance)
StapleStadium/ventilator,wire_255255255 (Instance)
StapleStadium/ventilators,ventilators (Instance)
StapleStadium/W_building1,W_building2 (Instance)
StapleStadium/W_building2,W_building2 (Instance)
StapleStadium/W_wall,grey_wall2 (Instance)
StapleStadium/W_wall1,W_wall1 (Instance)
StapleStadium/W_wall2,wall5 (Instance)
StapleStadium/white_window_frame,white_frame (Instance)
